url,cocktail_no
https://w.namu.la/s/25b154579f585b98a4d539816e1fe78a81f6d199e9be8d60e64f48626b10324b0a39be0e39ebc8545ec183328e27493c943754bcda318086fa800e78e98f3511c82851083c261e7d9d90f02d350f3decb250a74499661a150d0a1ab2b55738bb,77
https://w.namu.la/s/bf9f87bd4007c84fae5831baca853927c4281c1015dd63614c264e291960b331d35e4c47674ca969d48b0533518e467fed119ace0e41856598113ea36ca7afa08965bf60f5b791083db4f8e297389325b4f0e50dc6fdc9c65a881ccda5630c40c86022800c51d436378b3e8f2ef32f78,78
https://w.namu.la/s/af324e5b855c765890f82521b31b16fbaacd2937d9fac50c5001a85822d688e6d6a4ab701caa1e1ef19c9823790a142566bfcc6690993360def1f79b4069def1a989622ec658adb9bf315158c40ef2ab22760fadc322486899c8353e24f89e01,79
https://w.namu.la/s/826ca76d03aa0bd37f3948d3732fe50c965d3b3168beeb347d746fef50515a460c931eead48762a2d263f216582f81a1d21eaa3e5c5a564f3f108e79f5afa253bccee0a972a010db94bc6b00bb81f47e8a8543996fec4f28a7c34f0002d8b7133b9d1d4fec7b3252fce92a16b3ad4513,80
https://w.namu.la/s/87d38dc52b8f8df032ab6b325b2e7ff2430b2d36b2a8c3b06fabaa2a5035a60493eea4b46af47df441ab7e178791ecf6f8cb0f480b6e728c8ce9836d0ff459c6c8cdfffe91fdecc3695db2019f26c459e7f25a9edc6dbaecd6c2a9cc21729125,81
https://w.namu.la/s/da682dd4b2ab77b1dc7dfb278b40335bf0029081edd4555e92739a48950f5b600c1c0afaaecb57bc777620a79c45e213f6ad74e853a90b07177b9677f49715dc8c279d3b2ec907e1be3002111a974e1aaddac339766e56cb37e5b2ae7476429e415412d46e9c2ee190bd9d0c4d76152e,82
https://w.namu.la/s/105b7015b7c107c1ef6c80a86de8b6cc2fe858d5b1836bf76c65bc1ec1d44088c6fc1afaf39229bbbec5d51c773bf245f87f5f9c563b36231115d0dd1237048bfce2ae860172cf65dcde9d708763328a858f9950f5d5eea6ca9a1dadb2651f3eb8053f4849094e6767bfae72c9aac4fb,83
https://w.namu.la/s/e5ce152e324871aebd876bc5554a5eaace1093a3e3b4435263131c6a18fc4d50c1b255bbb054e0061fe0a4892c282fc67407d0e01e25d3beae2a919a0f74408957fbae074b84467dc9d17604600dba3fcb22dcfb0d40b3adf985c609726354d4,84
https://w.namu.la/s/621b39ae47c15541c4e755e256062f92c18721af52942f4198b21c91933fe1ac23de04944b6418bad51417059335ea2c270a8c7cc2830c0086ab537879b182c6cd1e74a1d0842b1c8deb2b14cf56558107b0d8b78f52149d8c6f3d3849dade2d,85
https://w.namu.la/s/16ec59d566c740513837e7c5c528add835f95ee95a33b5c3a393c5a587b09c98a211e303d98e3a3aae602d7ee20dad2b476849fb4af0501fe58e0bcd7a1e465dc1403225ceba481b4bc1dc9eb54e81afdd2a239be7e7b4aaa5255554b8efad42,86
https://w.namu.la/s/4988c81bdd544bd4ad28b69b9f222f8e84419f63c84d24e3b62ddf0d61d50066b0ae626aecf279268f5956d380a07dffb4d3d797cc2262dacd5945716d49693200a088c190ea950e1e6eff2a8f3fce071b5c00a419856bddc5d4b6778de2f8caebcca4a4ddd8ef987e4470e174e0c669,87
https://w.namu.la/s/e2083ec2fb862abbfd63c1af24a661e9d0642714fb9f643509ea334d1d8613c18e8ae123586b47677d5d01414655657746be66909a3ce0043ea4835737500f3129b6e002b73d4d16c053c3cc52730fad55651bf7f660717f7db533492dd8e85e,88
https://w.namu.la/s/abddaf3fd53f900d91108ac9bb2edb37129b8a879d1531d20e1b14a34b831952298ff17367fb0b860bebe8285e73127acd73c6e8fce7d4917d76d0874683ee48d21e27cdb9f9e3f3c795a479b29a092f2db4de6cf0f66b66dd282d9c1c44f69377830bcd44c34d287488efcae5766b50,89
https://w.namu.la/s/7765218cd684fbbf2af3eef62f6a790e345521a79f3932c1616aff8be11e31c49c7486048013323357d8dc1d43dea1facd876f5b2a6cd3a408ed82a8065f0361ae798b1a89088b399acb36ae2c3fe917b839ae7ae6c690dbfac7648fd5456dfd,90
https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_COCK_MASTER/72.Virgin%20Colada.jpg,91
https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_COCK_MASTER/71.Shirley_temple.jpg,92
https://cocktail-bucket.s3.ap-northeast-2.amazonaws.com/TB_COCK_MASTER/70.Roy%20Rogers.jpg,93
